City,Population,Violent_crime,Murder,Rape,Robbery
Bisbee,5463.00,74,1,0,0
Buckeye,55710.00,49,1,0,17
Bullhead City,39577.00,76,0,0,25
Camp Verde,10942.00,33,0,0,0
Casa Grande,50058.00,229,5,0,57
Chandler,248718.00,575,2,0,162
Chino Valley,10850.00,50,1,0,2
Clarkdale,4090.00,5,0,0,0
Clifton,3499.00,11,0,0,0
Coolidge,11820.00,66,0,0,13
Cottonwood,11285.00,44,0,0,3
Eagar,5034.00,15,0,0,1
El Mirage,32837.00,86,1,0,18
Eloy,17602.00,72,1,0,7
Flagstaff,67963.00,246,1,0,43
Florence,26682.00,24,1,0,2
Fredonia,1318.00,3,0,0,0
Gilbert,225232.00,193,1,14,47
Glendale,234006.00,305,13,0,335
