country_region,last_update,lat,long,confirmed,deaths,recovered,active
Australia,43921.78,-25,133,4559,18,358,4183
Austria,43921.77,47.52,14.55,10122,128,1095,8899
Canada,43921.78,60,-95,8180,95,1020,0
China,43921.58,30.59,114.31,82278,3309,76206,2763
Denmark,43921.77,56,10,3039,90,77,2872
Finland,43921.77,61.92,25.75,1418,17,10,1391
France,43921.77,46.23,2.21,52819,3532,9508,39779
Germany,43921.77,51.17,10.45,68180,682,15824,51674
Iceland,43921.77,64.96,-19.02,1135,2,198,935
Ireland,43921.77,53.14,-7.69,2910,54,5,2851
Italy,43921.77,41.87,12.57,105792,12428,15729,77635
Netherlands,43921.77,52.32,5.55,12667,1040,253,11374
Norway,43921.77,60.47,8.47,4605,39,13,4553
Russia,43921.77,61.52,105.32,2337,17,121,2199
Sweden,43921.77,60.13,18.64,4435,180,16,4239
Switzerland,43921.77,46.82,8.23,16186,395,1823,13968
UnitedKingdom,43921.77,55,-3,25474,1793,179,23502
US,43921.77,40,-100,177452,3440,6038,0
Afghanistan,43921.77,33.94,67.71,174,4,5,165
Albania,43921.77,41.15,20.17,243,15,52,176
Algeria,43921.77,28.03,1.66,716,44,46,626
Andorra,43921.77,42.51,1.52,370,8,10,352
Angola,43921.77,-11.2,17.87,7,2,1,4
AntiguaandBarbuda,43921.77,17.06,-61.8,7,0,0,7
Argentina,43921.77,-38.42,-63.62,966,26,240,700
Armenia,43921.77,40.07,45.04,532,3,30,499
Azerbaijan,43921.77,40.14,47.58,298,5,26,267
Bahamas,43921.77,25.03,-78.04,14,0,1,13
Bahrain,43921.77,26.03,50.55,567,4,295,268
Bangladesh,43921.77,23.69,90.36,51,5,25,21
Barbados,43921.77,13.19,-59.54,34,0,0,34
Belarus,43921.77,53.71,27.95,152,1,47,104
Belgium,43921.77,50.83,4.47,12775,705,1696,10374
Belize,43921.77,17.19,-88.5,3,0,0,3
Benin,43921.77,9.31,2.32,9,0,1,8
Bhutan,43921.77,27.51,90.43,4,0,0,4
Bolivia,43921.77,-16.29,-63.59,107,6,0,101
Bosnia_and_Herzegovina,43921.77,43.92,17.68,411,12,17,382
Botswana,43921.77,-22.33,24.68,3,0,0,3
Brazil,43921.77,-14.24,-51.93,4715,168,127,4420
Brunei,43921.77,4.54,114.73,129,1,45,83
Bulgaria,43921.77,42.73,25.49,399,8,17,374
Burkina_Faso,43921.77,12.24,-1.56,261,14,32,215
Burma,43921.77,21.92,95.96,15,1,0,14
Burundi,43921.77,-3.37,29.92,2,0,0,2
Cabo_Verde,43921.77,16.54,-23.04,6,1,0,5
Cambodia,43921.77,11.55,104.92,109,0,23,86
Cameroon,43921.77,3.85,11.5,193,6,5,182
Chad,43921.77,15.45,18.73,7,0,0,7
Chile,43921.77,-35.68,-71.54,2738,12,156,2570
Colombia,43921.77,4.57,-74.3,798,14,15,769
Congo,43921.77,-4.26,15.28,19,0,0,19
Congo ,43921.77,-4.32,15.31,98,8,2,88
Costa_Rica,43921.77,9.75,-83.75,330,2,4,324
Cote_d'Ivoire,43921.77,7.54,-5.55,168,1,6,161
Croatia,43921.77,45.1,15.2,867,6,67,794
Cuba,43921.77,21.52,-77.78,186,6,8,172
Cyprus,43921.77,35.13,33.43,262,8,23,231
Czechia,43921.77,49.82,15.47,3257,31,45,3181
Diamond_Princess,43921.77,0,0,712,10,603,99
Djibouti,43921.77,11.83,42.59,30,0,0,30
Dominica,43921.77,15.42,-61.37,12,0,0,12
Dominican_Republic,43921.77,18.74,-70.16,1109,51,5,1053
Ecuador,43921.77,-1.83,-78.18,2240,75,54,2111
Egypt,43921.77,26.82,30.8,710,46,157,507
El Salvador,43921.77,13.79,-88.9,32,0,0,32
Equatorial Guinea,43921.77,1.65,10.27,12,0,1,11
Eritrea,43921.77,15.18,39.78,15,0,0,15
Estonia,43921.77,58.6,25.01,745,4,26,715
Eswatini,43921.77,-26.52,31.47,9,0,0,9
Ethiopia,43921.77,9.15,40.49,26,0,2,24
Fiji,43921.77,-17.71,178.07,5,0,0,5
Gabon,43921.77,-0.8,11.61,16,1,0,15
Gambia,43921.77,13.44,-15.31,4,1,0,3
Georgia,43921.77,42.32,43.36,110,0,21,89
Ghana,43921.77,7.95,-1.02,161,5,31,125
Greece,43921.77,39.07,21.82,1314,49,52,1213
Grenada,43921.77,12.12,-61.68,9,0,0,9
Guatemala,43921.77,15.78,-90.23,36,1,10,25
Guinea,43921.77,9.95,-9.7,22,0,0,22
Guinea-Bissau,43921.77,11.8,-15.18,8,0,0,8
Guyana,43921.77,4.86,-58.93,12,2,0,10
Haiti,43921.77,18.97,-72.29,15,0,1,14
Holy See,43921.77,41.9,12.45,6,0,0,6
Honduras,43921.77,15.2,-86.24,141,7,3,131
Hungary,43921.77,47.16,19.5,492,16,37,439
India,43921.77,20.59,78.96,1397,35,123,1239
Indonesia,43921.77,-0.79,113.92,1528,136,81,1311
Iran,43921.77,32.43,53.69,44605,2898,14656,27051
Iraq,43921.77,33.22,43.68,694,50,170,474
Israel,43921.77,31.05,34.85,4831,20,163,4648
Jamaica,43921.77,18.11,-77.3,36,1,2,33
Japan,43921.77,36.2,138.25,1953,56,424,1473
Jordan,43921.77,31.24,36.51,274,5,30,239
Kazakhstan,43921.77,48.02,66.92,340,2,22,316
Kenya,43921.77,-0.02,37.91,59,1,1,57
"Korea, South",43921.77,35.91,127.77,9786,162,5408,4216
Kosovo,43921.77,42.6,20.9,106,1,1,104
Kuwait,43921.77,29.31,47.48,289,0,73,216
Kyrgyzstan,43921.77,41.2,74.77,107,0,3,104
Laos,43921.77,19.86,102.5,9,0,0,9
Latvia,43921.77,56.88,24.6,398,0,1,397
Lebanon,43921.77,33.85,35.86,463,12,37,414
Liberia,43921.77,6.43,-9.43,3,0,0,3
Libya,43921.77,26.34,17.23,8,0,0,8
Liechtenstein,43921.77,47.14,9.55,68,0,0,68
Lithuania,43921.77,55.17,23.88,537,8,7,522
Luxembourg,43921.77,49.82,6.13,2178,23,80,2075
MS Zaandam,43921.77,0,0,2,0,0,2
Madagascar,43921.77,-18.77,46.87,46,0,0,46
Malaysia,43921.77,4.21,101.98,2766,43,537,2186
Maldives,43921.77,3.2,73.22,18,0,13,5
Mali,43921.77,17.57,-4,28,2,0,26
Malta,43921.77,35.94,14.38,169,0,2,167
Mauritania,43921.77,21.01,-10.94,6,1,2,3
Mauritius,43921.77,-20.35,57.55,143,4,0,139
Mexico,43921.77,23.63,-102.55,1094,28,35,1031
Moldova,43921.77,47.41,28.37,353,4,18,331
Monaco,43921.77,43.73,7.42,52,1,2,49
Mongolia,43921.77,46.86,103.85,12,0,2,10
Montenegro,43921.77,42.71,19.37,109,2,0,107
Morocco,43921.77,31.79,-7.09,602,36,24,542
Mozambique,43921.77,-18.67,35.53,8,0,0,8
Namibia,43921.77,-22.96,18.49,11,0,2,9
Nepal,43921.77,28.17,84.25,5,0,1,4
New Zealand,43921.77,-40.9,174.89,647,1,74,572
Nicaragua,43921.77,12.87,-85.21,4,1,0,3
Niger,43921.77,17.61,8.08,27,3,0,24
Nigeria,43921.77,9.08,8.68,135,2,8,125
North Macedonia,43921.77,41.61,21.75,329,9,12,308
Oman,43921.77,21.51,55.92,192,0,34,158
Pakistan,43921.77,30.38,69.35,1914,26,76,1812
Panama,43921.77,8.54,-80.78,1075,27,9,1039
Papua New Guinea,43921.77,-6.32,143.96,1,0,0,1
Paraguay,43921.77,-23.44,-58.44,65,3,1,61
Peru,43921.77,-9.19,-75.02,1065,24,53,988
Philippines,43921.77,12.88,121.77,2084,88,49,1947
Poland,43921.77,51.92,19.15,2311,33,7,2271
Portugal,43921.77,39.4,-8.22,7443,160,43,7240
Qatar,43921.77,25.35,51.18,693,1,51,641
Romania,43921.77,45.94,24.97,2245,80,220,1945
Rwanda,43921.77,-1.94,29.87,70,0,0,70
Saint Kitts and Nevis,43921.77,17.36,-62.78,8,0,0,8
Saint Lucia,43921.77,13.91,-60.98,9,0,1,8
Saint Vincent and the Grenadines,43921.77,12.98,-61.29,1,0,1,0
San Marino,43921.77,43.94,12.46,230,25,13,192
Saudi Arabia,43921.77,23.89,45.08,1563,10,165,1388
Senegal,43921.77,14.5,-14.45,175,0,40,135
Serbia,43921.77,44.02,21.01,785,16,0,769
Seychelles,43921.77,-4.68,55.49,10,0,0,10
Sierra Leone,43921.77,8.46,-11.78,1,0,0,1
Singapore,43921.77,1.28,103.83,926,3,240,683
Slovakia,43921.77,48.67,19.7,363,0,3,360
Slovenia,43921.77,46.15,15,802,15,10,777
Somalia,43921.77,5.15,46.2,5,0,1,4
South Africa,43921.77,-30.56,22.94,1353,3,31,1319
Spain,43921.77,40.46,-3.75,94417,8269,19259,66889
Sri Lanka,43921.77,7.87,80.77,143,2,17,124
Sudan,43921.77,12.86,30.22,7,2,1,4
Suriname,43921.77,3.92,-56.03,8,0,0,8
Syria,43921.77,34.8,39,10,2,0,8
Taiwan*,43921.31,23.7,121,322,5,39,278
Tanzania,43921.77,-6.37,34.89,19,1,1,17
Thailand,43921.77,15.87,100.99,1651,10,342,1299
Timor-Leste,43921.77,-8.87,125.73,1,0,0,1
Togo,43921.77,8.62,0.82,34,1,10,23
Trinidad and Tobago,43921.77,10.69,-61.22,85,3,1,81
Tunisia,43921.77,33.89,9.54,362,10,3,349
Turkey,43921.77,38.96,35.24,13531,214,243,13074
Uganda,43921.77,1.37,32.29,44,0,0,44
Ukraine,43921.77,48.38,31.17,549,13,8,528
United Arab Emirates,43921.77,23.42,53.85,664,6,61,597
Uruguay,43921.77,-32.52,-55.77,320,1,25,294
Uzbekistan,43921.77,41.38,64.59,172,2,7,163
Venezuela,43921.77,6.42,-66.59,135,3,39,93
Vietnam,43921.77,14.06,108.28,207,0,58,149
West Bank and Gaza,43921.77,31.95,35.23,117,1,18,98
Zambia,43921.77,-13.13,27.85,35,0,0,35
Zimbabwe,43921.77,-19.02,29.15,8,1,0,7
